Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Label,Scaffold,Structure
-0.46063635,0.97430676,-1.27671,-0.3877272,2.010234,-0.0032337778,-0.7275057,-0.4726595,-0.3503592,-0.84682816,-0.5356654,3.394173,0.37812567,-0.7309531,-0.44168338,0.5918819,0.30319387,-0.9849934,-0.20368958,-0.902913,-0.23701318,-1.2954777,1.098965,0.48225343,-0.22982775,0.41825202,0.09017572,-1.1006086,0.9378616,-0.12957089,1.4926267,-0.8539943,l0,c1ccccc1,CC[Sn]c1ccccc1
0.059590857,0.8296102,-0.4906517,0.906416,-0.29423836,0.49181238,1.0571753,0.26981798,-0.7817667,0.30789554,-1.4160315,1.0151347,-0.11433769,0.7117402,0.39175472,-0.26991898,2.5161655,-0.44145787,-0.4511542,0.117248245,-0.48265585,-1.9123974,0.31674477,-0.82501745,0.5067448,-0.36580154,-0.7996761,-0.69977474,-0.18687001,-0.24519388,2.5029063,-2.2238138,l0,c1ccccc1,CN(CC(=O)NC(=O)NC(C)(C)C)Cc1ccc(Cl)c(Cl)c1
-0.6601017,0.77780616,-1.6379194,-0.13753645,0.26229692,-0.19375698,0.15096198,-0.09848469,-0.85067725,0.17497064,-1.2695229,2.9996479,-0.45596546,1.1391783,0.09536402,0.22428332,1.0461601,-0.49753276,-0.6432797,0.50726753,-0.26509136,-1.798839,0.4824909,-0.062787734,0.7480824,0.22662382,-0.14728272,-1.4236141,0.4674179,0.07710396,2.1784441,-1.4157069,l0,c1ccccc1,CCC(C)c1ccc(NC(C)=O)c(O)c1
-0.33502412,1.3037815,-0.050214816,-0.27399415,-0.00906445,-0.56997234,0.7916118,0.026752947,-0.913126,0.3627095,-1.3554324,1.8299736,-0.2878894,1.2354013,0.30937842,-0.09115831,1.665623,-0.28917152,-0.593169,-0.3827334,-0.008328949,-2.2566705,-0.2465807,-0.61141574,0.64669925,-0.6712096,-0.6028553,0.66629004,-0.14285576,0.14154881,2.6403093,-1.9292125,l0,c1ccccc1,Cc1ccccc1N(CC(=O)NC(C(C)C)C(C)C)S(C)(=O)=O
0.0056555783,0.57737607,-1.7011801,0.43759936,0.94182634,-0.86824083,-0.66630375,0.32368445,-0.8803182,-1.1594534,-0.8585384,1.8691379,-0.09642839,1.6177653,-0.21445952,0.71918434,2.4555564,-0.8680975,-0.8167058,0.3232057,-0.022231834,-1.3185887,0.77179116,0.12991355,0.17486471,0.7350279,-0.3098899,-1.0931512,0.7988786,-0.48566517,1.1658866,-1.6881003,l0,c1ccccc1,NC(N)=NC(Cc1ccc(O)cc1)C(=O)O
0.067292385,0.9831837,-0.3249737,0.61279356,0.30057514,0.074889734,0.040449906,0.556989,-0.98457533,-0.14771067,-1.2231345,0.4430141,1.014922,0.9760378,0.039249055,0.101807944,2.4780576,-0.51065844,-0.5038169,1.2019174,-0.25548157,-2.19656,-0.02154708,-0.80599564,0.3723247,-0.3844013,-0.99058366,0.86408025,0.02342897,-0.52920413,1.451496,-2.7238684,l0,c1ccccc1,CCCCN(C(=O)NC(=O)Nc1cccc(C(F)(F)F)c1)S(C)(=O)=O
-0.5962193,1.1727526,-0.629485,0.54598194,1.022469,-0.5740551,0.089278795,-0.19142342,-0.78173995,-0.66939163,-1.2662804,2.1801665,-0.10334776,1.3042191,-0.044621203,0.14577457,1.796562,-0.56477946,-0.5076159,-0.0045721736,-0.07528987,-2.1888256,-0.042399883,0.1458916,0.877012,-0.23190276,-0.70894545,0.4247309,0.6452915,-0.7929231,1.7814019,-2.1577144,l0,c1ccccc1,CN(C)S(=O)(=O)C(C(N)=O)c1ccccc1
-0.46082097,0.8872,-1.3182786,-0.22421524,0.8803466,-0.26259997,-0.39677513,-0.36902085,-1.0511057,-0.37877867,-0.34784472,3.5258126,0.23722523,0.31692955,-0.25845852,0.69162863,1.1527581,-1.0673716,-0.6546052,-0.5923702,-0.3841442,-0.99718255,0.6067096,0.55085266,-0.068159185,0.7113298,0.06298978,-1.50867,0.6306143,-0.22460058,1.7714617,-1.4608545,l0,c1ccccc1,CCC(C)OC(=O)C=Cc1ccccc1
1.2357029,0.5201757,-0.9608782,-0.69260216,-0.5064076,-0.21862695,0.813456,-0.4896256,-1.0697172,-1.0903847,0.044383816,1.8307756,-0.98710525,1.2656827,0.88611674,-0.15665667,1.2148,-0.58571965,-1.1798398,1.0316962,-0.6798816,-0.0019994196,0.1641037,-0.7592782,0.3621043,0.5391508,-0.22483586,-1.1340312,0.7695562,-0.17116143,2.4364042,-2.2053597,l0,c1ccccc1,CCOC(=O)c1cc(C(C)=O)c(C(=O)OCC)cc1C(C)=O
0.714772,0.4973931,-0.8183261,0.25086242,0.21295777,-0.29686806,0.044158455,-0.33189657,-1.2319503,-0.41070837,-0.29498398,2.623976,0.7727237,0.7200534,0.034904737,0.041524317,2.7394216,-0.8336829,-0.7678597,0.27847418,-0.046570804,-1.7039233,0.19760883,-0.32726377,0.31980395,0.1906493,-0.69086516,-1.0837849,0.3667631,-0.5676288,1.4523542,-2.0520885,l0,c1ccccc1,CC(C)CNC(=O)NC(=O)COC(=O)C=Cc1ccccc1F
